Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2010-01-06,Salt Lake,Snowboarder,Unknown,20,7200.0,North,9600.0,"40.655281000000, -111.609507000000"
2010-01-07,Salt Lake,Skier,Unknown,24,4800.0,Northeast,10200.0,"40.623171000000, -111.667700000000"
2010-01-01,Logan,Natural,Facets,24,2100.0,Northeast,9300.0,"41.910800000000, -111.658168000000"
2010-01-01,Logan,Natural,Facets,36,9600.0,Northeast,9600.0,"41.902208000000, -111.670013000000"
2010-01-10,Salt Lake,Skier,Unknown,12,3600.0,South,9300.0,"0.000000000000, 0.000000000000"
2010-01-07,Logan,Natural,Facets,18,6000.0,Northeast,9000.0,"41.955437000000, -111.621480000000"
2010-01-18,Salt Lake,Skier,Unknown,18,7200.0,Northwest,9700.0,"40.674742000000, -111.673832000000"
2010-01-19,Salt Lake,Skier,Facets,30,3600.0,North,9300.0,"40.606068000000, -111.573415000000"
2010-01-19,Salt Lake,Skier,Density Change,20,6000.0,East,10200.0,"40.584235000000, -111.557922000000"
2010-01-19,Uintas,Skier,Facets,14,3600.0,Northeast,10900.0,"40.814190000000, -110.915077000000"
2010-01-19,Salt Lake,Skier,New Snow/Old Snow Interface,12,1200.0,Northwest,9700.0,"40.631672000000, -111.579809000000"
2010-01-20,Salt Lake,Skier,Unknown,24,7200.0,Northeast,10000.0,"40.625158000000, -111.567106000000"
2010-01-20,Salt Lake,Skier,Unknown,18,4800.0,Northeast,10400.0,"40.604863000000, -111.643410000000"
2010-01-20,Salt Lake,Natural,Facets,16,4800.0,North,10100.0,"40.599291000000, -111.640620000000"
2010-01-20,Salt Lake,Skier,Facets,24,6000.0,Northwest,9800.0,"40.657983000000, -111.596632000000"
2010-01-20,Salt Lake,Skier,Unknown,18,720.0,West,10000.0,"40.601800000000, -111.616416000000"
2010-01-21,Salt Lake,Skier,Density Change,10,5400.0,North,9500.0,"40.585441000000, -111.603627000000"
2010-01-21,Logan,Snowboarder,Facets,24,2400.0,North,8000.0,"41.868091000000, -111.666455000000"
2010-01-21,Salt Lake,Skier,New Snow,18,2400.0,Northeast,9600.0,"40.597792000000, -111.568909000000"
2010-01-21,Logan,Skier,Facets,24,2400.0,North,8000.0,"41.868219000000, -111.666756000000"
